Time,"Coolant temperature","Oil temperature","Intake air temperature","Battery voltage","Transmission temperature","Fuel tank level","Current battery voltage","Current battery voltage","Battery power from the IBS"
0.000,0,204.80,0,0,0,0,0,0,0
0.182,0,204.80,96.80,0,0,0,0,0,0
0.364,0,204.80,96.80,13.38,0,0,0,0,0
0.543,0,204.80,96.80,13.38,158.90,0,0,0,0
0.723,0,204.80,96.80,13.38,158.90,44.00,0,0,0
0.903,0,204.80,96.80,13.38,158.90,44.00,0.00,0,0
1.080,0,204.80,96.80,13.38,158.90,44.00,0.00,13.56,0
1.263,0,204.80,96.80,13.38,158.90,44.00,0.00,13.56,-11.78
1.443,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.56,-11.78
1.623,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.56,-11.78
1.800,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.56,-11.78
1.983,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.56,-11.78
2.163,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.56,-11.78
2.342,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.56,-11.78
2.523,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.56,-11.78
2.703,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.60,-11.78
2.883,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.60,-11.72
3.072,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.60,-11.72
3.242,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.60,-11.72
3.423,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.60,-11.72
3.603,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.60,-11.72
3.780,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.60,-11.72
3.963,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.60,-11.72
4.142,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.60,-11.72
4.323,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.61,-11.72
4.531,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.61,-12.50
4.713,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.61,-12.50
4.892,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.61,-12.50
5.069,173.75,204.80,96.80,13.38,158.90,44.00,0.00,13.61,-12.50
5.252,173.75,204.80,96.80,13.47,158.90,44.00,0.00,13.61,-12.50
5.431,173.75,204.80,96.80,13.47,158.90,44.00,0.00,13.61,-12.50
5.612,173.75,204.80,96.80,13.47,158.90,44.00,0.00,13.61,-12.50
5.793,173.75,204.80,96.80,13.47,158.90,44.00,0.00,13.61,-12.50
5.971,173.75,204.80,96.80,13.47,158.90,44.00,0.00,13.61,-12.50
6.151,173.75,204.80,96.80,13.47,158.90,44.00,0.00,13.61,-11.84
6.332,173.75,204.80,96.80,13.47,158.90,44.00,0.00,13.61,-11.84
6.511,173.75,204.80,96.80,13.47,158.90,44.00,0.00,13.61,-11.84
6.693,173.75,204.80,98.15,13.47,158.90,44.00,0.00,13.61,-11.84
6.871,173.75,204.80,98.15,13.47,158.90,44.00,0.00,13.61,-11.84
7.052,173.75,204.80,98.15,13.47,158.90,44.00,0.00,13.61,-11.84
7.232,173.75,204.80,98.15,13.47,158.90,44.00,0.00,13.61,-11.84
7.413,173.75,204.80,98.15,13.47,158.90,44.00,0.00,13.61,-11.84
7.592,173.75,204.80,98.15,13.47,158.90,44.00,0.00,13.63,-11.84
7.773,173.75,204.80,98.15,13.47,158.90,44.00,0.00,13.63,-12.22
7.953,175.10,204.80,98.15,13.47,158.90,44.00,0.00,13.63,-12.22
8.132,175.10,204.80,98.15,13.47,158.90,44.00,0.00,13.63,-12.22
8.313,175.10,204.80,98.15,13.47,158.90,44.00,0.00,13.63,-12.22
8.491,175.10,204.80,98.15,13.47,158.90,44.00,0.00,13.63,-12.22
8.673,175.10,204.80,98.15,13.47,158.90,44.00,0.00,13.63,-12.22
8.852,175.10,204.80,98.15,13.47,158.90,44.00,0.00,13.63,-12.22
9.033,175.10,204.80,98.15,13.47,158.90,44.00,0.00,13.63,-12.22
9.213,175.10,204.80,98.15,13.47,158.90,44.00,0.00,13.62,-12.22
9.391,175.10,204.80,98.15,13.47,158.90,44.00,0.00,13.62,-12.60
9.602,175.10,204.80,98.15,13.47,158.90,44.00,0.00,13.62,-12.60
9.783,175.10,204.80,98.15,13.47,158.90,44.00,0.00,13.62,-12.60
9.962,175.10,204.80,98.15,13.47,158.90,44.00,0.00,13.62,-12.60
10.140,175.10,204.80,98.15,13.56,158.90,44.00,0.00,13.62,-12.60
10.323,175.10,204.80,98.15,13.56,158.90,44.00,0.00,13.62,-12.60
10.503,175.10,204.80,98.15,13.56,158.90,44.00,0.00,13.62,-12.60
10.684,175.10,204.80,98.15,13.56,158.90,44.00,0.00,13.62,-12.60
10.863,175.10,204.80,98.15,13.56,158.90,44.00,0.00,13.64,-12.60
11.043,175.10,204.80,98.15,13.56,158.90,44.00,0.00,13.64,-12.04
11.222,176.45,204.80,98.15,13.56,158.90,44.00,0.00,13.64,-12.04
11.403,176.45,204.80,98.15,13.56,158.90,44.00,0.00,13.64,-12.04
11.583,176.45,204.80,98.15,13.56,158.90,44.00,0.00,13.64,-12.04
11.763,176.45,204.80,98.15,13.47,158.90,44.00,0.00,13.64,-12.04
11.943,176.45,204.80,98.15,13.47,158.90,44.00,0.00,13.64,-12.04
12.122,176.45,204.80,98.15,13.47,158.90,44.00,0.00,13.64,-12.04
12.303,176.45,204.80,98.15,13.47,158.90,44.00,0.00,13.64,-12.04
12.483,176.45,204.80,98.15,13.47,158.90,44.00,0.00,13.66,-12.04
12.663,176.45,204.80,98.15,13.47,158.90,44.00,0.00,13.66,-12.58
12.842,177.80,204.80,98.15,13.47,158.90,44.00,0.00,13.66,-12.58
13.023,177.80,203.00,98.15,13.47,158.90,44.00,0.00,13.66,-12.58
13.200,177.80,203.00,98.15,13.47,158.90,44.00,0.00,13.66,-12.58
13.381,177.80,203.00,98.15,13.47,158.90,44.00,0.00,13.66,-12.58
13.563,177.80,203.00,98.15,13.47,158.90,44.00,0.00,13.66,-12.58
13.740,177.80,203.00,98.15,13.47,158.90,44.00,0.00,13.66,-12.58
13.923,177.80,203.00,98.15,13.47,158.90,44.00,0.00,13.66,-12.58
14.103,177.80,203.00,98.15,13.47,158.90,44.00,0.00,13.64,-12.58
14.283,177.80,203.00,98.15,13.47,158.90,44.00,0.00,13.64,-12.24
14.463,177.80,203.00,98.15,13.47,158.90,44.00,0.00,13.64,-12.24
14.641,177.80,203.00,98.15,13.47,158.90,44.00,0.00,13.64,-12.24
14.823,177.80,203.00,98.15,13.47,158.90,44.00,0.00,13.64,-12.24
15.003,177.80,203.00,98.15,13.56,158.90,44.00,0.00,13.64,-12.24
15.183,177.80,203.00,98.15,13.56,158.90,44.00,0.00,13.64,-12.24
15.363,177.80,203.00,98.15,13.56,158.90,44.00,0.00,13.64,-12.24
15.543,177.80,203.00,98.15,13.56,158.90,44.00,0.00,13.64,-12.24
15.723,177.80,203.00,98.15,13.56,158.90,44.00,0.00,13.67,-12.24
15.901,177.80,203.00,98.15,13.56,158.90,44.00,0.00,13.67,-12.08
16.080,179.15,203.00,98.15,13.56,158.90,44.00,0.00,13.67,-12.08
16.263,179.15,203.00,98.15,13.56,158.90,44.00,0.00,13.67,-12.08
16.443,179.15,203.00,98.15,13.56,158.90,44.00,0.00,13.67,-12.08
16.623,179.15,203.00,98.15,13.47,158.90,44.00,0.00,13.67,-12.08
16.803,179.15,203.00,98.15,13.47,158.90,44.00,0.00,13.67,-12.08
